Date,Time,Mainnet Transactions,Mainnet TPS,Testnet Transactions,Testnet TPS
2023-03-09,10:10:04,5030022354,585,70966854,3
2023-03-09,10:15:09,5030245178,1655,70968381,5
2023-03-09,10:20:10,5030480044,599,70969729,5
2023-03-09,10:25:10,5030699670,0,70971120,6
2023-03-09,10:30:05,5030930142,621,70972611,5
2023-03-09,10:35:10,5031154149,640,70974000,5
2023-03-09,10:40:05,5031378157,700,70975467,5
2023-03-09,10:45:05,5031601395,631,70976880,4
2023-03-09,10:50:05,5031830841,747,70978241,5
2023-03-09,10:55:05,5032048821,601,70979582,6
2023-03-09,11:00:04,5032275182,585,70981006,5
2023-03-09,11:05:05,5032498669,712,70982414,4
2023-03-09,11:10:04,5032723165,775,70983948,4
2023-03-09,11:15:04,5032949395,759,70985526,7
2023-03-09,11:20:04,5033172174,658,70986910,4
2023-03-09,11:25:04,5033392397,899,70988219,6
2023-03-09,11:30:04,5033617207,723,70989516,4
2023-03-09,11:35:09,5033838990,737,70990877,11
2023-03-09,11:40:04,5034055283,588,70992110,5
2023-03-09,11:45:04,5034279000,602,70993517,5
2023-03-09,11:50:04,5034498972,908,70994948,5
2023-03-09,11:55:05,5034723094,466,70996260,6
2023-03-09,12:00:05,5034947730,703,70997530,5
2023-03-09,12:05:05,5035168776,1041,70999078,5
2023-03-09,12:10:05,5035394522,919,71000276,4
2023-03-09,12:15:05,5035611137,1996,71001661,4
2023-03-09,12:20:04,5035850184,569,71002934,6
2023-03-09,12:25:05,5036068234,734,71004196,3
2023-03-09,12:30:05,5036292080,741,71005110,3
2023-03-09,12:35:05,5036511514,601,71006155,3
2023-03-09,12:40:05,5036734096,728,71007132,3
2023-03-09,12:45:05,5036960744,718,71008158,3
2023-03-09,12:50:05,5037177076,910,71009008,4
2023-03-09,12:55:05,5037400688,606,71010041,3
2023-03-09,13:00:05,5037624458,596,71011051,3
2023-03-09,13:05:05,5037843712,881,71012229,4
2023-03-09,13:10:04,5038063824,587,71013363,6
2023-03-09,13:15:05,5038286206,768,71014748,5
2023-03-09,13:20:05,5038494003,538,71016110,4
2023-03-09,13:25:10,5038732937,459,71017366,4
2023-03-09,13:30:05,5038948134,888,71018500,4
2023-03-09,13:35:05,5039162620,710,71019666,2
